Treatment;Replicate;No_Pract;Tillage;Fertilizer;Cover;AMF_PC;WSA_PC;BD_DW_g;BD_g_cm3;dsDNA_ng;dsDNA_DW;St_DW_g;St_DM_PC;St_L_cm;St_FW_g;Ca_pct;Fe_ppm;Zn_ppm;P_pct;K_pct;Mg_pct;Cu_ppm;Mn_ppm;Sum_Seed;Total_1;Total_2;HSW_g;Plant_Yield;Plant_Pod_g;Plant_Pod_No;Beans_Pod;Pod_Length;Yield_g_plot;Yield_kg_ha;Ca_kg_ha;Fe_kg_ha;Zn_kg_ha;P_kg_ha;K_kg_ha;Mg_kg_ha;Cu_kg_ha;Mn_kg_ha;Min_kg_ha;SHI_SD;SHI_AV;Protein_pct;Starch_pct;Phenolics_pct;Protein_kg_ha;Starch_kg_ha;Phenolics_kg_ha
1;1;0;CT;MIN;FA;45;69.77;114.35;1.78671875;78.2;34.75555556;10.52;19.31080798;45.46666667;54.6;0.075051132;56.9751928;36.76071773;0.218666689;0.923856962;0.115908252;32.91632538;26.05332458;1349;1096.4;1332.54;5.72;13.66333333;21.29666667;16.8;8.95;7.485;2428.94;1012.058333;75.95612358;5.766221866;3.720399072;221.3034444;934.9971374;117.3059123;3.331324141;2.636748425;1365.017311;-1.460086358;-0.508889611;25.568503125;39.249088801;0.09676413;258.7681666;397.223674;0.979309441
1;2;0;CT;MIN;FA;46;71.50;111.81;1.74703125;78.3;34.8;9.246666667;21.70804548;41.36666667;42.70333333;0.077553162;26.35269622;11.91298995;0.246654505;1.056118293;0.124076283;6.18771487;7.030493831;1510;1816.02;961.48;4.54;10.83;13.86833333;20.6;9.266666667;7.703333333;2777.5;1157.291667;89.75162832;3.049775573;1.378680399;285.4512027;1222.2369;143.5924489;0.716099086;0.813633192;1746.990368;-0.486194155;-0.542098912;22.559476309;43.683806441;0.05821176;228.3150599;442.1056034;0.589136968
1;3;0;CT;MIN;FA;45;61.70;114.97;1.79640625;73.3;32.57777778;9.126666667;20.35312157;40.86666667;44.78333333;0.076077498;27.71441581;11.29548061;0.236455436;1.068799923;0.122130158;5.533406198;6.939098567;1509;1930.03;977.52;5.41;13.71666667;19.44;28.6;10.23333333;8.066666667;2907.55;1211.479167;92.16630354;3.357543737;1.368423944;286.4608342;1294.82884;147.9581423;0.670360633;0.840657335;1827.651105;-2.569189831;-0.419000636;22.006465195;38.763861222;0.01965939;222.7182649;392.3128878;0.198964495
2;1;1;CT;MIN;SH;45;77.06;109.31;1.70796875;86.4;38.4;10.52666667;18.72777061;42.66666667;56.41333333;0.074575442;44.87320166;20.8501581;0.24119468;1.120076206;0.133236631;14.7066184;12.42069395;1578;1421.65;1496.11;5.38;12.33333333;19.72166667;24.6;8.333333333;6.76;2917.76;1215.733333;90.66385039;5.455384703;2.534823221;293.2284117;1361.71398;161.9802132;1.787932622;1.510025165;1918.874621;0.955686506;-0.587610554;23.573877246;39.315979125;0.11017365;238.5813892;397.9006431;1.115021606
2;2;1;CT;MIN;SH;53;43.48;115.64;1.806875;80.9;35.95555556;10.74666667;20.92308934;45.4;51.75;0.072857286;26.69980337;15.38847722;0.232495832;1.024539702;0.122016847;43.21680259;7.004331142;1461;1389.88;998.04;4.65;10.37833333;15.005;12.8;9.85;7.725;2387.92;994.9666667;72.49057117;2.656541436;1.531102188;231.3256025;1019.382853;121.4026959;4.299927802;0.696907601;1453.786201;-2.712304565;0.129834505;21.442196856;43.931411531;0.05653557;217.0075401;444.6115113;0.572172947
2;3;1;CT;MIN;SH;67;58.93;115.29;1.80140625;79.3;35.24444444;9.446666667;20.72017262;42.86666667;45.17666667;0.079112432;30.82075417;16.15579657;0.233168717;1.051048054;0.124506532;5.953479643;6.965805242;1494;1661.48;864.17;6.27;10.39833333;15.29333333;25;10.41666667;8.033333333;2525.65;1052.354167;83.25429762;3.243434907;1.700161984;245.3760706;1106.074799;131.0249681;0.626516911;0.733049417;1572.033298;0.555823732;0.094625498;21.851086957;37.999172459;0.05653557;221.1457465;384.5737915;0.572172947
3;1;1;CT;ORG;FA;53;72.77;125.59;1.96234375;84.5;37.55555556;6.703333333;32.82717021;32.86666667;21.31;0.074819306;31.37379603;14.88886387;0.250151759;1.077544187;0.126345284;6.532088384;8.041877788;1535;998.01;1255.36;6.02;10.50833333;17.635;17;9.916666667;7.751666667;2253.37;938.9041667;70.24815828;2.945698782;1.397921632;234.8685291;1011.710727;118.6261138;0.6133005;0.755055256;1441.165504;-2.752600421;-0.247036764;21.829268597;40.372850529;0.07832604;220.9249319;408.5967982;0.792705215
3;2;1;CT;ORG;FA;49;87.33;114.26;1.7853125;95.4;42.4;11.01333333;21.01245738;46.03333333;52.13666667;0.074163325;26.63330567;11.12492951;0.236433319;1.049170138;0.12153557;5.443988768;6.943091894;1486;1584.01;1039.23;5.54;10.51833333;15.41166667;18.8;10.08333333;8.263333333;2623.24;1093.016667;81.06175067;2.911064699;1.215973337;258.4255581;1146.760447;132.840404;0.595037046;0.758891516;1624.569126;1.542170952;-0.548343903;21.118176434;43.176669974;0.05653557;213.7282644;436.9730865;0.572172947
3;3;1;CT;ORG;FA;47;44.13;110.69;1.72953125;91.2;40.53333333;7.35;21.77888761;35.96666667;34.07;0.068323915;32.26311433;11.2028834;0.22670888;1.039682952;0.115913822;5.525974873;7.396701216;1456;1190.03;951.89;4.9;15.82666667;19.57666667;23.6;9.216666667;7.82;2141.92;892.4666667;60.97681635;2.87937541;0.99982;202.3301183;927.8823782;103.4492225;0.493174838;0.660130928;1299.671037;-1.604812147;0.081907019;23.797591829;34.394386574;0.05821176;240.8455112;348.0912555;0.589136968
4;1;2;CT;ORG;SH;55;39.26;112.29;1.75453125;86.5;38.44444444;10.68666667;18.91515723;46.13333333;55.80333333;0.06896261;37.0558747;15.39308084;0.258371482;1.142474737;0.134569559;6.73695933;7.868333419;1611;1409.91;1536.07;5.9;13.58;21.455;20.4;10.01666667;8.485;2945.98;1227.491667;84.65102882;4.548577739;1.889487846;317.1488407;1402.37822;165.1830123;0.826956144;0.96583137;1977.591955;-1.569626054;0.271518777;22.992806250;37.323893879;0.08838318;232.7006117;377.7395783;0.894489338
4;2;2;CT;ORG;SH;50;51.71;111.75;1.74609375;100.6;44.71111111;10.54333333;21.19326996;45.23333333;49.79;0.07354446;28.29397045;12.07027097;0.233438344;1.039118229;0.127248131;6.14518041;7.02187024;1479;2145.29;972.95;4.76;14.04166667;19.44666667;22.6;10.6;8.66;3118.24;1299.266667;95.55386475;3.676141267;1.568250073;303.2986589;1350.091678;165.3292548;0.798422807;0.912328194;1921.228599;-0.314899652;0.119563522;22.080179730;42.721003656;0.03809748;223.464299;432.3614776;0.385568721
4;3;2;CT;ORG;SH;62;45.12;112.31;1.75484375;80.9;35.95555556;5.446666667;23.23379882;33.4;23.54;0.070245402;26.30779254;11.71390523;0.223899882;1.000803968;0.115877914;5.856091646;6.892707445;1416;1499.32;1177.32;5.55;11.04833333;15.865;24;9.033333333;7.345;2676.64;1115.266667;78.3423552;2.93402041;1.306412804;249.7080751;1116.163305;129.2347754;0.653110381;0.768720686;1579.110775;-0.408863125;0.234173282;22.205635297;38.047601262;0.051507;224.7339825;385.0639192;0.521280886
5;1;1;NT;MIN;FA;61;60.57;113.16;1.768125;79.7;35.42222222;9.996666667;18.89529671;42.4;52.83666667;0.071321814;34.31043502;13.67065782;0.240699682;1.076011753;0.127055814;6.06129864;7.37294141;1521;1235.25;1266.14;5.89;11.17166667;18.40333333;20.2;9.65;8.723333333;2501.39;1042.245833;74.33486303;3.575990793;1.424818615;250.8682411;1121.468766;132.4233925;0.631736325;0.768441746;1585.49625;0.439030853;-0.055998852;23.534668457;42.024908516;0.06994509;238.1845733;425.3165887;0.707885112
5;2;1;NT;MIN;FA;56;58.90;116.37;1.81828125;154.6;68.71111111;9.22;21.73717923;44.66666667;42.26333333;0.074823479;30.58852448;12.14205784;0.232204645;0.992577731;0.120183598;5.833104015;7.155343142;1425;1619.03;857.98;4.89;8.066666667;11.545;16;9.533333333;8.043333333;2477.01;1032.0875;77.22437697;3.157003375;1.253166613;239.6555111;1024.427069;124.039989;0.602027374;0.738494022;1471.097637;2.880714358;0.747278124;22.246150249;27.086041667;0.04312605;225.1440174;274.1265419;0.436460783
5;3;1;NT;MIN;FA;66;51.96;112.91;1.76421875;97.3;43.24444444;14.55666667;19.98907563;40.73333333;73.2;0.078065318;29.0158213;10.99594947;0.22872169;1.034223901;0.121150198;5.924522069;7.172706915;1467;1880.19;1207.49;5.9;15.25333333;21.385;29.8;9.933333333;7.735;3087.68;1286.533333;100.4336339;3.73298213;1.414665553;294.2580786;1330.563523;155.8637678;0.762209513;0.922792654;1887.951653;1.472246417;0.376696382;22.205635297;39.663752914;0.02133558;224.7339825;401.4203167;0.215928515
6;1;2;NT;MIN;SH;58;51.92;110.59;1.72796875;66.7;29.64444444;6.533333333;19.61573359;37.03333333;33.55;0.076146926;30.94869562;13.67632764;0.234585455;1.023533009;0.12317036;6.973338693;7.461456783;1463;1673.32;923.38;4.96;10.99;17.785;9.6;7.75;6.191666667;2596.7;1081.958333;82.38780104;3.348519913;1.479721666;253.8116876;1107.420069;133.2651975;0.754486191;0.807298535;1583.274781;-0.733149755;-0.12877836;21.744828554;43.013570717;0.02468796;220.0703494;435.3224269;0.249856557
6;2;2;NT;MIN;SH;60;54.29;114.19;1.78421875;107.9;47.95555556;8.24;21.80719371;41.4;37.61;0.073452061;27.02065718;11.78328141;0.22867459;0.975315957;0.117373397;6.065201393;6.847311256;1400;1871.89;955.1;5.05;13.39833333;18.80166667;25.6;10.56666667;8.31;2826.99;1177.9125;86.52010121;3.182796985;1.387967447;269.3586575;1148.836857;138.2555918;0.714427654;0.806553352;1649.062953;1.061038073;0.358203128;23.021096480;41.165875791;0.04983081;232.9869254;416.6226764;0.504316865
6;3;2;NT;MIN;SH;61;51.80;112.08;1.75125;98;43.55555556;11.95666667;21.23524463;44.63333333;55.94333333;0.071262002;29.34416951;11.06073552;0.231943372;1.026535666;0.120971408;5.403196157;6.997543575;1456;1961.77;1006.86;4.98;9.888333333;14.11666667;16.6;10.05;7.77;2968.63;1236.929167;88.14604934;3.629665913;1.368134638;286.8975224;1269.751906;149.6330626;0.668337092;0.865546574;1800.960224;1.014844895;0.289810996;22.707457564;35.839986693;0.02468796;229.8127166;362.721572;0.249856557
7;1;2;NT;ORG;FA;53;40.91;108.11;1.68921875;71.7;31.86666667;11.84333333;18.02268808;44.36666667;65.98333333;0.074415842;33.93591298;14.61439087;0.241531478;1.094859418;0.128922343;5.596447474;7.606576886;1546;1299.99;1464.23;5.15;19.72;30.43833333;30;10.08333333;8.078333333;2764.22;1151.758333;85.70906641;3.908597057;1.683224647;278.1858931;1261.013459;148.4873826;0.644575502;0.876093832;1780.508292;-1.411063959;0.004869615;23.750115337;40.708291791;0.07832604;240.3650214;411.9916594;0.792705215
7;2;2;NT;ORG;FA;52;66.50;117.56;1.836875;82.2;36.53333333;7.623333333;20.43087391;42.03333333;37.56;0.067622828;36.43376091;13.02673897;0.238930918;1.073738433;0.126406224;6.14027247;7.206633887;1513;1444.97;965.83;6.1;10.45;14.93833333;14.8;9.9;8.845;2410.8;1004.5;67.92713099;3.659771284;1.30853593;240.0061067;1078.570256;126.9750524;0.61679037;0.723906374;1519.78755;-1.384317751;-0.253449209;24.425496627;33.129253386;0.13699269;247.2002741;335.2873697;1.386445935
7;3;2;NT;ORG;FA;65;51.16;109.83;1.71609375;100.6;44.71111111;8.326666667;20.30223147;43;41.20666667;0.073683568;28.34065571;10.84634238;0.234195979;1.032690446;0.118266516;5.59468162;7.446748246;1464;2031.07;1145.12;5.38;12.455;18.97833333;29.8;10.56666667;8.42;3176.19;1323.4125;97.51375439;3.750637802;1.435418508;309.9378862;1366.675444;156.5153851;0.740407159;0.985511971;1937.554445;2.27525158;0.382132245;22.176121875;38.985489221;0.04983081;224.4352894;394.5558924;0.504316865
8;1;3;NT;ORG;SH;66;64.16;107.18;1.6746875;116.1;51.6;8.506666667;18.58300045;46.16666667;46.26666667;0.072389192;27.59760158;13.20798264;0.232370414;1.005021208;0.120797192;6.224326477;7.050168153;1436;1869.23;1244.87;6.08;14.20666667;21.25833333;18.8;10.15;8.095;3114.1;1297.541667;93.92799308;3.580903795;1.713790781;301.5102944;1304.056893;156.73939;0.807632295;0.914788694;1863.251686;5.068427469;0.325704114;22.080179730;45.402998675;0.02301177;223.464299;459.5048317;0.232892536
8;2;3;NT;ORG;SH;57;67.46;116.35;1.81796875;71.7;31.86666667;7.456666667;21.36490826;42.9;34.81666667;0.069824088;31.07399822;12.58227277;0.225672258;1.01170865;0.118865327;6.244074054;7.067188149;1432;1822.53;1063.91;4.71;14.75666667;20.56166667;30.2;10.98333333;8.64;2886.44;1202.683333;83.97626688;3.737217975;1.513248976;271.4122638;1216.765131;142.9573483;0.75096438;0.84995894;1721.962401;-0.85406033;-0.307963399;23.032595529;37.794268252;0.02468796;233.1033024;382.5000414;0.249856557
8;3;3;NT;ORG;SH;61;50.00;109.47;1.71046875;87.7;38.97777778;6.276666667;20.813319;41.96666667;29.98;0.074654615;27.9608833;11.89120196;0.221129862;1.006406825;0.118350318;5.962130621;7.38725841;1426;1483.59;977.13;5.32;9.491666667;13.55833333;19;10.13333333;7.718333333;2460.72;1025.3;76.54337721;2.866829365;1.219204937;226.7244478;1031.868917;121.3445816;0.611297253;0.757415605;1461.936071;0.995933265;0.182852992;22.633430015;36.875539509;0.0179832;229.0635146;373.2019706;0.182000474
